,flow
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0009799988487804879
79,0.0021967840097560976
80,0.002189928380487805
81,0.002108328585365854
82,0.001972239892682927
83,0.0017913670243902438
84,0.0016279893658536586
85,0.001482774673170732
86,0.001343169131707317
87,0.0012117547317073171
88,0.001087641131707317
89,0.0009416251317073171
90,0.0016319513853658536
91,0.0029789489853658544
92,0.003031568165853659
93,0.002701296
94,0.002466869092682927
95,0.0022920950634146343
96,0.0026248156682926833
97,0.0026817530048780496
98,0.002503684712195122
99,0.0023107032
100,0.0021780868390243904
101,0.0019749554341463417
102,0.0017650574341463415
103,0.0015828935707317075
104,0.0014244573073170733
105,0.0012930874243902441
106,0.0012143367219512196
107,0.0013326185853658535
108,0.0014647897756097563
109,0.0015376642243902442
110,0.0015279149853658538
111,0.0014686627609756097
112,0.001392983736585366
113,0.00131169556097561
114,0.001223418204878049
115,0.0011208063512195123
116,0.0010141434439024392
117,0.0009061450243902441
118,0.0007882192975609756
119,0.0006944663414634146
120,0.0015173644390243902
121,0.002685937609756098
122,0.0034332457170731705
123,0.004916554595121952
124,0.005677217824390245
125,0.00529486068292683
126,0.004756248614634147
127,0.004524937902439025
128,0.003908242887804878
129,0.0032881645756097566
130,0.002803818819512195
131,0.0025266110048780496
132,0.002306206975609756
133,0.0021359291707317074
134,0.0019469541951219515
135,0.0017672387707317074
136,0.0016014571902439026
137,0.0014240121365853662
138,0.0012872111707317075
139,0.0011572658341463414
140,0.0010332857853658536
141,0.0009130896878048782
142,0.0007763777560975612
143,0.0006235951609756098
144,0.0004976118439024392
145,0.00037527892682926833
146,0.00027569423414634147
147,0.0001343080097560976
148,3.058322926829269e-05
149,2.9247717073170732e-05
150,3.111743414634146e-05
151,3.138453658536585e-05
152,3.356587317073171e-05
153,3.74833756097561e-05
154,2.8090273170731715e-05
155,3.10284e-05
156,2.546376585365854e-05
157,2.5552800000000004e-05
158,2.2303053658536588e-05
159,2.9559336585365854e-05
160,3.0093541463414634e-05
161,2.987095609756098e-05
162,2.942578536585366e-05
163,3.1918741463414635e-05
164,2.7378e-05
165,3.365490731707318e-05
166,2.4350839024390243e-05
167,2.782317073170732e-05
168,2.7645102439024393e-05
169,2.6309590243902445e-05
170,2.6398624390243905e-05
171,3.236391219512196e-05
172,2.6443141463414636e-05
173,2.466245853658537e-05
174,3.111743414634146e-05
175,3.387749268292683e-05
176,2.9292234146341466e-05
177,2.488504390243903e-05
178,2.5107629268292688e-05
179,3.0983882926829276e-05
180,3.543559024390244e-05
181,2.5241180487804882e-05
182,3.058322926829269e-05
183,2.795672195121951e-05
184,3.111743414634146e-05
185,3.0850331707317075e-05
186,2.7199931707317073e-05
187,2.9114165853658538e-05
188,2.395018536585366e-05
189,3.080581463414635e-05
190,3.9531160975609766e-05
191,3.0093541463414634e-05
192,3.249746341463415e-05
193,2.8268341463414636e-05
194,3.160712195121951e-05
195,2.871351219512195e-05
196,2.7600585365853662e-05
197,3.178519024390244e-05
198,2.541924878048781e-05
199,3.036064390243903e-05
200,2.679927804878049e-05
201,2.363856585365854e-05
202,2.7066380487804883e-05
203,2.6487658536585373e-05
204,3.387749268292683e-05
205,2.8268341463414636e-05
206,2.5374731707317073e-05
207,2.6754760975609757e-05
208,2.9336751219512196e-05
209,2.65321756097561e-05
210,3.1918741463414635e-05
211,2.813479024390244e-05
212,3.1340019512195124e-05
213,3.071678048780488e-05
214,2.5285697560975616e-05
215,2.452890731707317e-05
216,2.7645102439024393e-05
217,2.6665726829268294e-05
218,2.973740487804878e-05
219,3.458976585365854e-05
220,3.218584390243903e-05
221,3.0449678048780493e-05
222,3.240842926829269e-05
223,2.817930731707317e-05
224,2.7066380487804883e-05
225,3.815113170731707e-05
226,3.254198048780488e-05
227,3.2052292682926835e-05
228,2.8535443902439028e-05
229,2.9025131707317074e-05
230,3.338780487804878e-05
231,2.6309590243902445e-05
232,2.6398624390243905e-05
233,3.049419512195122e-05
234,3.654851707317073e-05
235,3.352135609756098e-05
236,3.352135609756098e-05
237,3.921954146341463e-05
238,3.5613658536585376e-05
239,2.4306321951219513e-05
240,2.782317073170732e-05
241,2.1368195121951226e-05
242,4.024343414634147e-05
243,3.280908292682927e-05
244,2.7645102439024393e-05
245,3.285360000000001e-05
246,3.59252780487805e-05
247,3.2052292682926835e-05
248,2.9915473170731713e-05
249,3.7127239024390245e-05
250,3.4322663414634155e-05
251,2.8223824390243906e-05
252,3.0449678048780493e-05
253,3.3343287804878056e-05
254,2.9559336585365854e-05
255,2.8001239024390248e-05
256,2.8490926829268294e-05
257,2.546376585365854e-05
258,2.6665726829268294e-05
259,2.546376585365854e-05
260,2.506311219512195e-05
261,3.1250985365853664e-05
262,2.8223824390243906e-05
263,2.8446409756097564e-05
264,2.7066380487804883e-05
265,3.058322926829269e-05
266,3.165163902439025e-05
267,2.9114165853658538e-05
268,2.657669268292683e-05
269,2.28817756097561e-05
270,2.8535443902439028e-05
271,2.5775385365853662e-05
272,2.377211707317073e-05
273,3.0316126829268292e-05
274,3.1340019512195124e-05
275,1.9943648780487804e-05
276,2.0388819512195123e-05
277,2.341598048780488e-05
278,2.831285853658537e-05
279,2.817930731707317e-05
280,2.181336585365854e-05
281,2.5775385365853662e-05
282,2.6710243902439027e-05
283,2.8936097560975607e-05
284,3.454524878048781e-05
285,2.5908936585365856e-05
286,2.9692887804878045e-05
287,2.804575609756098e-05
288,3.3476839024390244e-05
289,3.254198048780488e-05
290,2.3594048780487806e-05
291,3.000450731707317e-05
292,2.5819902439024392e-05
293,2.8268341463414636e-05
294,1.0862165853658537e-05
295,6.232390243902439e-07
296,1.3533190243902441e-05
297,2.1190126829268298e-05
298,2.0878507317073173e-05
299,1.4646117073170733e-05
300,1.9053307317073172e-05
301,1.860813658536586e-05
302,2.208046829268293e-05
303,1.9721063414634146e-05
304,1.771779512195122e-05
305,3.258649756097562e-05
306,1.638228292682927e-05
